Name_of_movie,Year_of_release,Watchtime,Movie_Rating,Metascore,Votes,Grosses,Description,Director,Stars,Genres
The Great Escape, 1963 ,172,8.2,86,"253,893",$12.10M,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,John Sturges,"['Steve McQueen', 'James Garner', 'Richard Attenborough', 'Charles Bronson']","
Adventure, Drama, History            "
Some Like It Hot, 1959 ,121,8.2,98,"277,863",$25.00M,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Billy Wilder,"['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon', 'George Raft']","
Comedy, Music, Romance            "
Tumbbad, 2018 ,104,8.2, ,"55,866", ,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,"Directors:Rahi Anil Barve, Anand Gandhi, Adesh Prasad","['Sohum Shah', 'Jyoti Malshe', 'Anita Date-Kelkar', 'Ronjini Chakraborty']","
Drama, Fantasy, Horror            "
The Elephant Man, 1980 ,124,8.2,78,"252,842",#156,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",David Lynch,"['Anthony Hopkins', 'John Hurt', 'Anne Bancroft', 'John Gielgud']","
Biography, Drama            "
Ran, 1985 ,160,8.2,97,"132,557",$4.14M,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Akira Kurosawa,"['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu', 'Daisuke Ryû']","
Action, Drama, War            "
For a Few Dollars More, 1965 ,132,8.2,74,"268,125",$15.00M,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,Sergio Leone,"['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè', 'Mara Krupp']","
Drama, Western            "
Klaus, 2019 ,96,8.2,65,"172,901",#177,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Directors:Sergio Pablos, Carlos Martínez López","['Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones', 'Will Sasso']","
Animation, Adventure, Comedy            "
Dial M for Murder, 1954 ,105,8.2,75,"184,441",$0.01M,A former tennis star arranges the murder of his adulterous wife.,Alfred Hitchcock,"['Ray Milland', 'Grace Kelly', 'Robert Cummings', 'John Williams']","
Crime, Thriller            "
Drishyam 2, 2022 ,140,8.2, ,"40,973", ,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,Abhishek Pathak,"['Ajay Devgn', 'Akshaye Khanna', 'Tabu', 'Shriya Saran']","
Crime, Drama, Mystery            "
Gangs of Wasseypur, 2012 ,321,8.2,89,"101,199", ,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Anurag Kashyap,"['Manoj Bajpayee', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia', 'Richa Chadha']","
Action, Comedy, Crime            "
All About Eve, 1950 ,138,8.2,98,"136,198",$0.01M,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm']","
Drama            "
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train, 2020 ,117,8.2,72,"68,569",$47.70M,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",Haruo Sotozaki,"['Natsuki Hanae', 'Akari Kitô', 'Yoshitsugu Matsuoka', 'Hiro Shimono']","
Animation, Action, Adventure            "
Rashomon, 1950 ,88,8.2,98,"176,262",$0.10M,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Akira Kurosawa,"['Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori', 'Takashi Shimura']","
Crime, Drama, Mystery            "
Miracle in Cell No. 7, 2019 ,132,8.2, ,"53,418", ,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie Miracle in Cell No. 7 (2013).,Mehmet Ada Öztekin,"['Aras Bulut Iynemli', 'Nisa Sofiya Aksongur', 'Deniz Baysal', 'Celile Toyon Uysal']","
Drama            "
Yojimbo, 1961 ,110,8.2,93,"128,428",#148,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Akira Kurosawa,"['Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai', 'Yôko Tsukasa']","
Action, Drama, Thriller            "
Andhadhun, 2018 ,139,8.2, ,"99,439",$1.37M,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Sriram Raghavan,"['Tabu', 'Ayushmann Khurrana', 'Radhika Apte', 'Anil Dhawan']","
Crime, Mystery, Thriller            "
Drishyam, 2015 ,163,8.2, ,"91,321",$0.74M,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Nishikant Kamat,"['Ajay Devgn', 'Shriya Saran', 'Tabu', 'Rajat Kapoor']","
Crime, Drama, Mystery            "
The Treasure of the Sierra Madre, 1948 ,126,8.2,98,"130,120",$5.01M,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,John Huston,"['Humphrey Bogart', 'Walter Huston', 'Tim Holt', 'Bruce Bennett']","
Adventure, Drama, Western            "
Children of Heaven, 1997 ,89,8.2,77,"78,596",$0.93M,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Majid Majidi,"['Mohammad Amir Naji', 'Amir Farrokh Hashemian', 'Bahare Seddiqi', 'Nafise Jafar-Mohammadi']","
Drama, Family, Sport            "
The Wages of Fear, 1953 ,131,8.2,85,"64,735",#197,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Henri-Georges Clouzot,"['Yves Montand', 'Charles Vanel', 'Peter van Eyck', 'Folco Lulli']","
Adventure, Drama, Thriller            "
Pather Panchali, 1955 ,125,8.2, ,"36,560",$0.54M,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Satyajit Ray,"['Kanu Bannerjee', 'Karuna Bannerjee', 'Subir Banerjee', 'Chunibala Devi']","
Drama            "
The Kid, 1921 ,68,8.2, ,"131,996",$5.45M,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",Charles Chaplin,"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan', 'Carl Miller']","
Comedy, Drama, Family            "
Z, 1969 ,127,8.2,86,"30,642",$0.08M,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.,Costa-Gavras,"['Yves Montand', 'Irene Papas', 'Jean-Louis Trintignant', 'François Périer']","
Crime, Drama, Thriller            "
To Be or Not to Be, 1942 ,99,8.2,86,"41,184",#232,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Ernst Lubitsch,"['Carole Lombard', 'Jack Benny', 'Robert Stack', 'Felix Bressart']","
Comedy, Romance, War            "
Vikram Vedha, 2017 ,147,8.2, ,"49,223", ,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.","Directors:Gayatri, Pushkar, Gowtham Selvaraj","['Madhavan', 'Vijay Sethupathi', 'Shraddha Srinath', 'Kathir']","
Action, Crime, Drama            "
Uri: The Surgical Strike, 2019 ,138,8.2, ,"69,495",$4.19M,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",Aditya Dhar,"['Vicky Kaushal', 'Paresh Rawal', 'Mohit Raina', 'Yami Gautam']","
Action, Drama, History            "
K.G.F: Chapter 1, 2018 ,154,8.2, ,"94,548", ,"In the 1970s, a gangster named Rocky goes undercover as a slave to assassinate the owner of a notorious gold mine known as the K.G.F.",Prashanth Neel,"['Yash', 'Srinidhi Shetty', 'Ramachandra Raju', 'Archana Jois']","
Action, Crime, Drama            "
Sherlock Jr., 1924 ,45,8.2, ,"54,543",$0.98M,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Buster Keaton,"['Buster Keaton', 'Kathryn McGuire', 'Joe Keaton', 'Erwin Connelly']","
Action, Comedy, Romance            "
Kantara, 2022 ,148,8.2, ,"98,719", ,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice.",Rishab Shetty,"['Rishab Shetty', 'Kishore Kumar G.', 'Achyuth Kumar', 'Sapthami Gowda']","
Action, Adventure, Drama            "
Zindagi Na Milegi Dobara, 2011 ,155,8.2, ,"83,491",$3.11M,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,Zoya Akhtar,"['Hrithik Roshan', 'Farhan Akhtar', 'Abhay Deol', 'Katrina Kaif']","
Comedy, Drama, Musical            "
Dersu Uzala, 1975 ,142,8.2, ,"32,608", ,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,Akira Kurosawa,"['Maksim Munzuk', 'Yuriy Solomin', 'Mikhail Bychkov', 'Vladimir Khrulyov']","
Adventure, Biography, Drama            "
Baahubali 2: The Conclusion, 2017 ,167,8.2, ,"110,000",$20.19M,"Amarendra Baahubali, the heir apparent to the throne of Mahishmati, finds his life and relationships endangered as his adoptive brother Bhallaladeva conspires to claim the throne.",S.S. Rajamouli,"['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia']","
Action, Drama            "
My Father and My Son, 2005 ,112,8.2, ,"90,210",#231,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Çagan Irmak,"['Çetin Tekindor', 'Fikret Kuskan', 'Hümeyra', 'Ege Tanman']","
Drama, Family            "
Umberto D., 1952 ,89,8.2,92,"27,455",$0.07M,An elderly man and his dog struggle to survive on his government pension in Rome.,Vittorio De Sica,"['Carlo Battisti', 'Maria Pia Casilio', 'Lina Gennari', 'Ileana Simova']","
Drama            "
Swades, 2004 ,189,8.2, ,"95,664",$1.22M,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Ashutosh Gowariker,"['Shah Rukh Khan', 'Gayatri Joshi', 'Kishori Ballal', 'Smith Seth']","
Drama, Musical            "
Bhaag Milkha Bhaag, 2013 ,186,8.2, ,"70,905",$1.63M,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",Rakeysh Omprakash Mehra,"['Farhan Akhtar', 'Deepak Singh Rawat', 'Japtej Singh', 'Divya Dutta']","
Biography, Drama, Sport            "
Rangasthalam 1985, 2018 ,170,8.2, ,"26,729",$3.51M,Chitti Babu begins to suspect his elder brother's life is in danger after they team up to lock horns with their village president and overthrow his unlawful 30 year old regime.,Sukumar,"['Ram Charan', 'Samantha Ruth Prabhu', 'Aadhi', 'Jagapathi Babu']","
Action, Drama            "
Paan Singh Tomar, 2012 ,135,8.2, ,"37,420",$0.04M,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",Tigmanshu Dhulia,"['Irrfan Khan', 'Mahie Gill', 'Rajesh Abhay', 'Hemendra Dandotiya']","
Action, Biography, Crime            "
The Exorcist, 1973 ,122,8.1,82,"440,265",$232.91M,"When a young girl is possessed by a mysterious entity, her mother seeks the help of two Catholic priests to save her life.",William Friedkin,"['Ellen Burstyn', 'Max von Sydow', 'Linda Blair', 'Lee J. Cobb']","
Horror            "
Rocky, 1976 ,120,8.1,70,"612,319",$117.24M,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen,"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']","
Drama, Sport            "
Gone Girl, 2014 ,149,8.1,79,"1,034,977",$167.77M,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",David Fincher,"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris', 'Tyler Perry']","
Drama, Mystery, Thriller            "
Prisoners, 2013 ,153,8.1,70,"776,020",$61.00M,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Denis Villeneuve,"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis', 'Melissa Leo']","
Crime, Drama, Mystery            "
Mad Max: Fury Road, 2015 ,120,8.1,90,"1,053,021",$154.06M,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.",George Miller,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Zoë Kravitz']","
Action, Adventure, Sci-Fi            "
The Handmaiden, 2016 ,145,8.1,85,"164,226",$2.01M,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Park Chan-wook,"['Kim Min-hee', 'Ha Jung-woo', 'Cho Jin-woong', 'Moon So-ri']","
Drama, Romance, Thriller            "
Jaws, 1975 ,124,8.1,87,"643,106",$260.00M,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Steven Spielberg,"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss', 'Lorraine Gary']","
Adventure, Mystery, Thriller            "
Pirates of the Caribbean: The Curse of the Black Pearl, 2003 ,143,8.1,63,"1,179,172",$305.41M,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Gore Verbinski,"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley']","
Action, Adventure, Fantasy            "
Blade Runner, 1982 ,117,8.1,84,"803,459",$32.87M,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,Ridley Scott,"['Harrison Ford', 'Rutger Hauer', 'Sean Young', 'Edward James Olmos']","
Action, Drama, Sci-Fi            "
The Big Lebowski, 1998 ,117,8.1,71,"841,264",$17.50M,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","Directors:Joel Coen, Ethan Coen","['Jeff Bridges', 'John Goodman', 'Julianne Moore', 'Steve Buscemi']","
Comedy, Crime            "
Stand by Me, 1986 ,89,8.1,75,"428,997",$52.29M,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Rob Reiner,"['Wil Wheaton', 'River Phoenix', 'Corey Feldman', ""Jerry O'Connell""]","
Adventure, Comedy, Drama            "
Hacksaw Ridge, 2016 ,139,8.1,71,"571,285",$67.21M,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,"['Andrew Garfield', 'Sam Worthington', 'Luke Bracey', 'Teresa Palmer']","
Biography, Drama, History            "
Catch Me If You Can, 2002 ,141,8.1,75,"1,054,417",$164.62M,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken', 'Martin Sheen']","
Biography, Crime, Drama            "
Fargo, 1996 ,98,8.1,86,"705,557",$24.61M,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Directors:Joel Coen, Ethan Coen","['William H. Macy', 'Frances McDormand', 'Steve Buscemi', 'Peter Stormare']","
Crime, Thriller            "
Harry Potter and the Deathly Hallows: Part 2, 2011 ,130,8.1,85,"921,479",$381.01M,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon']","
Adventure, Family, Fantasy            "
The Grand Budapest Hotel, 2014 ,99,8.1,88,"862,344",$59.10M,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",Wes Anderson,"['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric', 'Adrien Brody']","
Adventure, Comedy, Crime            "
Ford v Ferrari, 2019 ,152,8.1,81,"440,967",$117.62M,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,James Mangold,"['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitríona Balfe']","
Action, Biography, Drama            "
The Terminator, 1984 ,107,8.1,84,"903,445",$38.40M,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Michael Biehn', 'Paul Winfield']","
Action, Sci-Fi            "
Into the Wild, 2007 ,148,8.1,73,"645,206",$18.35M,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",Sean Penn,"['Emile Hirsch', 'Vince Vaughn', 'Catherine Keener', 'Marcia Gay Harden']","
Adventure, Biography, Drama            "
Ratatouille, 2007 ,111,8.1,96,"792,947",$206.45M,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Directors:Brad Bird, Jan Pinkava","['Brad Garrett', 'Lou Romano', 'Patton Oswalt', 'Ian Holm']","
Animation, Adventure, Comedy            "
Dead Poets Society, 1989 ,128,8.1,79,"525,229",$95.86M,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",Peter Weir,"['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke', 'Josh Charles']","
Comedy, Drama            "
The Wizard of Oz, 1939 ,102,8.1,92,"418,225",$2.08M,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.","Directors:Victor Fleming, King Vidor","['Judy Garland', 'Frank Morgan', 'Ray Bolger', 'Bert Lahr']","
Adventure, Family, Fantasy            "
Room, I   2015 ,118,8.1,86,"440,013",$14.68M,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",Lenny Abrahamson,"['Brie Larson', 'Jacob Tremblay', 'Sean Bridgers', 'Wendy Crewson']","
Drama, Thriller            "
The Deer Hunter, 1978 ,183,8.1,86,"353,858",$48.98M,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,Michael Cimino,"['Robert De Niro', 'Christopher Walken', 'John Cazale', 'John Savage']","
Drama, War            "
Trainspotting, 1996 ,93,8.1,83,"711,844",$16.50M,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Danny Boyle,"['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller', 'Kevin McKidd']","
Drama            "
The Help, 2011 ,146,8.1,62,"481,421",$169.71M,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Tate Taylor,"['Viola Davis', 'Emma Stone', 'Octavia Spencer', 'Bryce Dallas Howard']","
Drama            "
The Bridge on the River Kwai, 1957 ,161,8.1,87,"229,287",$44.91M,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa']","
Adventure, Drama, War            "
Inside Out, I   2015 ,95,8.1,94,"757,938",$356.46M,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust, and Sadness - conflict on how best to navigate a new city, house, and school.","Directors:Pete Docter, Ronnie Del Carmen","['Amy Poehler', 'Bill Hader', 'Lewis Black', 'Mindy Kaling']","
Animation, Adventure, Comedy            "
"Monsters, Inc.", 2001 ,92,8.1,79,"953,524",$289.92M,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Directors:Pete Docter, David Silverman, Lee Unkrich","['Billy Crystal', 'John Goodman', 'Mary Gibbs', 'Steve Buscemi']","
Animation, Adventure, Comedy            "
